,date,state,fips,cases,deaths
0,21-01-2020,Washington,53,1,0
1,22-01-2020,Washington,53,1,0
2,23-01-2020,Washington,53,1,0
3,24-01-2020,Illinois,17,1,0
4,24-01-2020,Washington,53,1,0
5,25-01-2020,California,6,1,0
6,25-01-2020,Illinois,17,1,0
7,25-01-2020,Washington,53,1,0
8,26-01-2020,Arizona,4,1,0
9,26-01-2020,California,6,2,0
10,26-01-2020,Illinois,17,1,0
11,26-01-2020,Washington,53,1,0
12,27-01-2020,Arizona,4,1,0
13,27-01-2020,California,6,2,0
14,27-01-2020,Illinois,17,1,0
15,27-01-2020,Washington,53,1,0
16,28-01-2020,Arizona,4,1,0
17,28-01-2020,California,6,2,0
18,28-01-2020,Illinois,17,1,0
19,28-01-2020,Washington,53,1,0
20,29-01-2020,Arizona,4,1,0
21,29-01-2020,California,6,2,0
22,29-01-2020,Illinois,17,1,0
23,29-01-2020,Washington,53,1,0
24,30-01-2020,Arizona,4,1,0
25,30-01-2020,California,6,2,0
26,30-01-2020,Illinois,17,2,0
27,30-01-2020,Washington,53,1,0
28,31-01-2020,Arizona,4,1,0
29,31-01-2020,California,6,3,0
30,31-01-2020,Illinois,17,2,0
31,31-01-2020,Washington,53,1,0
32,01-02-2020,Arizona,4,1,0
33,01-02-2020,California,6,3,0
34,01-02-2020,Illinois,17,2,0
35,01-02-2020,Massachusetts,25,1,0
36,01-02-2020,Washington,53,1,0
37,02-02-2020,Arizona,4,1,0
38,02-02-2020,California,6,6,0
39,02-02-2020,Illinois,17,2,0
40,02-02-2020,Massachusetts,25,1,0
41,02-02-2020,Washington,53,1,0
42,03-02-2020,Arizona,4,1,0
43,03-02-2020,California,6,6,0
44,03-02-2020,Illinois,17,2,0
45,03-02-2020,Massachusetts,25,1,0
46,03-02-2020,Washington,53,1,0
47,04-02-2020,Arizona,4,1,0
48,04-02-2020,California,6,6,0
49,04-02-2020,Illinois,17,2,0
50,04-02-2020,Massachusetts,25,1,0
51,04-02-2020,Washington,53,1,0
52,05-02-2020,Arizona,4,1,0
53,05-02-2020,California,6,6,0
54,05-02-2020,Illinois,17,2,0
55,05-02-2020,Massachusetts,25,1,0
56,05-02-2020,Washington,53,1,0
57,05-02-2020,Wisconsin,55,1,0
58,06-02-2020,Arizona,4,1,0
59,06-02-2020,California,6,6,0
60,06-02-2020,Illinois,17,2,0
61,06-02-2020,Massachusetts,25,1,0
62,06-02-2020,Washington,53,1,0
63,06-02-2020,Wisconsin,55,1,0
64,07-02-2020,Arizona,4,1,0
65,07-02-2020,California,6,6,0
66,07-02-2020,Illinois,17,2,0
67,07-02-2020,Massachusetts,25,1,0
68,07-02-2020,Washington,53,1,0
69,07-02-2020,Wisconsin,55,1,0
70,08-02-2020,Arizona,4,1,0
71,08-02-2020,California,6,6,0
72,08-02-2020,Illinois,17,2,0
73,08-02-2020,Massachusetts,25,1,0
74,08-02-2020,Washington,53,1,0
